sentences	sentence_id
При прохождении автомашины УАЗ и БТР с сотрудниками ОМОНа, следовавшими для смены нарядов по охране здания министерства внутренних дел, по проспекту Акушинского на обочине дороги сработало неустановленное взрывное устройство, начиненное гвоздями и обрезками металлических пластин.	newsYa_23.xml_44
"""Пауэлл сказал Арафату, что свидетельства участия палестинской администрации в этом инциденте слишком серьезны"", - сообщил представитель госдепартамента США Ричард Баучер (Richard Boucher)."	newsYa_25.xml_50
По его словам, это произошло рано утром в воскресенье в центральной провинции Куангнгай.	newsYa_48.xml_45
132 человека, в том числе члены съемочной группы Сергея Бодрова, по-прежнему остаются пропавшими без вести.	newsYa_72.xml_90
А Владимир Соколин заверил регионы в готовности Министерства финансов уже в текущем году возместить финансовые затраты субъектов федерации на проведение переписи.	newsYa_74.xml_25
Монахов молчит.	uppsalaBitov_3.xml_206
С этого же времени стала мать приходить домой пьяная - не каждый день, а раза два в неделю.	uppsalaGrekova_2.xml_79
Он ткнулся туда-сюда, как потерявшаяся собака, и пошел наугад.	uppsalaGrekova_2.xml_238
И почему она существовала?	uppsalaGrekova_3.xml_320
Итак, ваша точка зрения как специалиста?	uppsalaKorp_210.xml_166
В сущности, такова она и сегодня, на исходе XX века.	uppsalaKorp_713.xml_17
Взять для примера последние Пленумы ЦК КПСС.	uppsalaKorp_719.xml_18
- Если взглянуть на структуру академического института, то можно обнаружить: убери название отделов, секторов, групп - и институт ничем не будет отличаться от министерства или треста.	uppsalaKorp_722.xml_19
Отец присутствовал в его жизни лишь порыжелой фотографией группы красноармейцев в остроконечных шлемах с крупными звездами.	uppsalaNagibin_2.xml_89
